Date,Amount,Category,Description
2023-07-03,-11128.04,Rent,STARBUCKS
2023-01-27,-140.86,,DELTA AIRLINES
2023-06-11,-0.24,Groceries,PAYROLL
2023-11-27,952.58,Rent,STARBUCKS
2023-08-16,-115.7,,STARBUCKS
2023-10-15,813.3,Uncategorized,STARBUCKS
2023-04-24,-277.57,Groceries,OFFICE DEPOT
2023-12-06,-242.15,Rent,OFFICE DEPOT
2023-06-17,521.85,Travel,OFFICE DEPOT
2023-07-01,905.04,Software,STARBUCKS
2023-06-05,-4527.79,Software,DELTA AIRLINES
2023-03-12,485.37,Software,UNKNOWN VENDOR
2023-08-27,462.28,,UBER EATS
2023-01-02,-6320.59,Software,DELTA AIRLINES
2023-06-20,113.17,,PAYROLL
2023-01-11,-460.99,Software,STARBUCKS
2023-11-02,-1.74,Groceries,OFFICE DEPOT
2023-01-31,-188.37,Groceries,UNKNOWN VENDOR
2023-05-01,212.2,,OFFICE DEPOT
2023-04-07,738.56,,UNKNOWN VENDOR
2023-06-02,443.14,Rent,DELTA AIRLINES
2023-05-23,-177.24,Uncategorized,PAYROLL
2023-06-02,-19195.71,Groceries,STARBUCKS
2023-06-10,217.13,Travel,OFFICE DEPOT
2023-10-14,-481.26,Software,DELTA AIRLINES
2023-11-18,273.28,Uncategorized,UNKNOWN VENDOR
2023-05-25,778.32,Travel,STARBUCKS
2023-02-12,-34.28,Rent,UBER EATS
2023-05-24,984.14,Rent,AWS CLOUD
2023-07-28,-82.42,Groceries,STARBUCKS
2023-12-31,386.75,Rent,AWS CLOUD
2023-12-26,-200.85,Software,STARBUCKS
2023-12-23,-350.34,Travel,AWS CLOUD
2023-12-30,613.08,Software,UBER EATS
2023-08-30,236.12,Travel,UNKNOWN VENDOR
2023-09-04,10.85,,UBER EATS
2023-06-26,675.21,Uncategorized,PAYROLL
2023-05-10,26.68,Groceries,PAYROLL
2023-07-30,782.02,Uncategorized,DELTA AIRLINES
2023-01-12,-89.02,Rent,UNKNOWN VENDOR
2023-01-25,638.95,Uncategorized,OFFICE DEPOT
2023-04-29,-86.23,Travel,AWS CLOUD
2023-10-06,686.94,Software,PAYROLL
2023-05-04,16.36,Software,UBER EATS
2023-08-25,59.4,,PAYROLL
2023-10-10,126.26,Travel,UNKNOWN VENDOR
2023-11-23,-297.13,Rent,STARBUCKS
2023-07-18,-113.63,,AWS CLOUD
2023-09-13,541.37,Travel,AWS CLOUD
2023-04-09,652.38,Groceries,PAYROLL
2023-11-25,60.06,,PAYROLL
2023-11-27,-455.36,,AWS CLOUD
2023-04-05,351.12,Rent,PAYROLL
2023-08-08,744.93,,UBER EATS
2023-11-13,135.36,Travel,AWS CLOUD
2023-08-28,-241.09,Groceries,PAYROLL
2023-01-08,932.75,Software,OFFICE DEPOT
2023-07-11,369.71,Software,PAYROLL
2023-09-25,978.32,Uncategorized,UNKNOWN VENDOR
2023-04-05,175.05,Groceries,UNKNOWN VENDOR
2023-01-04,509.63,Software,PAYROLL
2023-12-18,89.96,Travel,STARBUCKS
2023-11-09,-333.68,Uncategorized,DELTA AIRLINES
2023-01-16,896.54,Rent,STARBUCKS
2023-01-15,271.89,Travel,AWS CLOUD
2023-05-22,-466.04,,UNKNOWN VENDOR
2023-06-18,908.27,Software,UNKNOWN VENDOR
2023-03-01,804.01,Uncategorized,DELTA AIRLINES
2023-09-30,407.38,Uncategorized,DELTA AIRLINES
2023-01-24,325.49,Software,STARBUCKS
2023-12-15,-130.29,Rent,DELTA AIRLINES
2023-08-18,4.27,Software,OFFICE DEPOT
2023-11-12,97.36,Groceries,UBER EATS
